listing,price,brand,size
"KARL LAGERFELD PARIS TOTE CROSSBODY BAG MEDIUM
          
      NWT",166.0,KARL,Medium
"KAVU Rope Sling Crossbody Backpack – Blue, Yellow & Green Dot Pattern",35.0,KAVU,
Truly pink satin purse brand new,35.0,Truly,
Coach genuine leather & signature canvas zip wallet clutch black neutral,38.0,Coach,
"Rocket Baby The Stroller Bag Footmuff Igloo Zipper Waterproof Polyester Red Lava
          
      NWT",75.0,Rocket,
❤️Steve Madden Signature Black Mini Backpack,25.0,❤️Steve,Mini
"🍒2025🍒BRAND NEW LOUIS VUITTON NEVERFULL MM
          
      NWT",2899.0,🍒2025🍒BRAND,
"Lululemon All Night Festival Bag 2L
          
      NWT",48.0,Lululemon,
Ralph Lauren green plaid shoulder bag canvas hobo Y2K,30.0,Ralph,
"Bebe Sophia Quilted Chevron Flap Wallet Crossbody Bag Taupe Gold Chain New
          
      NWT",35.0,Bebe,
🌸2/$9 Faux‎ Leather Mini Clutches,9.0,🌸2/$9,Mini
Vera Bradley Makeup Cosmetic Accessory Bag Case with Attached Mirror,18.0,Vera,
Zara Elegant Black Croc-Embossed Chain Bag,65.0,Zara,
Never Used Louis Vuitton Felicie Inserts Pink Ballerina Vernis,525.0,Never,
VTG Liz Claiborne Crossbody Brown Paisley Leather Purse Bag,25.0,VTG,
Michael Kors Black Crossbody Bag Purse Silver Hardware,40.0,Michael,
Michael Kors Women's Jet Set Continental Wallet. Excellent Condition.,85.0,Michael,
"Michael Kors Jet Set Travel Large 2 In 1 Card Case and Wristlet Clutch MK Signat
          
      Boutique",88.0,Michael,Large
Ah Dorned Crossbody Bag Vegan Leather Camel Brown Minimalist Everyday‎ Purse,56.0,Ah,Mini
"Beige Artist Canvas Tote BN Loewe GWP Novelty
          
      NWT",200.0,Beige,
Coach Black Leather Pleated Hobo | Style F10205,85.0,Coach,
"Knitted Flower Tote Bag
          
      NWT",15.0,Knitted,
"Juicy Couture Juicy Girl Only Satchel/Crossbody Pink Free Love NWT
          
      NWT",75.0,Juicy,
Jessica Simpson Medium Textured Metallic Tote Bag Purse Gold Embroidered,17.0,Jessica,Medium
Gucci Interlocking G Top Handle Bag,874.0,Gucci,
"Kate Spade Madison Floral Waltz Flap Convertible Crossbody
Black Multi
NWT
          
      NWT",106.0,Kate,
Versona Black Hard Clutch with Bow and Jewel Accents,11.0,Versona,
"🚨🚨 NWT Juicy Couture Zip Card Wallet – Blush Pink Crest Logo
          
      NWT",15.0,🚨🚨,
"Michael Kors MINI XS Suri Bucket Crossbody Shoulder Bag Dark Chambray
          
      Boutique",100.0,Michael,Mini
R. Riveter Otto Bag,85.0,R.,
Chanel Quilted Black Crossbody Bag with Gold Chain,369.0,Chanel,
Y2K Rosetti Brown and‎ Cream Shoulder Bag,50.0,Y2K,
Vera Bradley Watercolor Floral Quilted Little Crossbody Bag,15.0,Vera,
"Brown Leather & Gold Chain Interchangeable Bag Strap
          
      NWT",20.0,Brown,
"aimee kestenberg Leopard Print Cow Hide Quitled Satchel
          
      NWT",80.0,aimee,
Global New Beginnings Large Geometric Print Tote Bag Shoulder‎ Bag,30.0,Global,Large
"NWT Badgley Mischka Black Pebbled Leather Weekender Bag with Multiple‎ Pockets
          
      NWT",67.0,NWT,
Vintage Brighton Croco Embossed Wallet Organizer Large Brighton Clutch Purse,38.0,Vintage,Large
"kate spade Bubble Gum Bag Charm
          
      NWT",69.0,kate,
VINTAGE COACH SHOULDER BAG,199.0,VINTAGE,
"NEW Summer Beachy Shell Mother of Pearl Lined Clutch 8”x6”
          
      NWT",25.0,NEW,
Lug Puddle Jumper in Forrest Green,79.0,Lug,
Kenneth Cole reaction gently used purse.,23.0,Kenneth,
Talbots hobo denim shoulder Navy Blue Bucket Bag,100.0,Talbots,
Tory Burch Perry Color Block Bifold Pebbled Leather Wallet pink yellow brown red,125.0,Tory,
"City Tote In Signature Canvas With Vintage Mini Rose Print
          
      NWT",185.0,City,Mini
Ramla Natural Straw Half-Moon Bag With Woven Texture Wooden Handle Bohemian NEW,65.0,Ramla,
Michael Kors Rivington Tote Camel Tan Leather Handbag Women's Bag,63.0,Michael,
Gap waistband purse fannypack strap bag Lululemon Style,15.0,Gap,
Talla Unica Manmade Materials Blue and White Stripped Leather Trim Crossbody bag,43.0,Talla,
Christian Louboutin Paloma Small Tote Bag Shoulder Bag Leather Pink,1999.0,Christian,Small
Christian Dior foldable cosmetics/travel  bag,75.0,Christian,
"NWT ""Chrystie Street"" Clutch in Pillbox Red
          
      NWT",198.0,NWT,
LULULEMON New Year Crossbody White Opal Fleece Bucket Bag 2.5L,58.0,LULULEMON,
FOSSIL Bianca Clutch,38.0,FOSSIL,
Vintage Flower Power Travel Case,125.0,Vintage,
"Michael Michael Kors Ginny Gold Metallic Crossbody Camera Bag
          
      NWT",99.0,Michael,
Vintage Beaded Purse,18.0,Vintage,
Wallflower Brown Patterned Leather Shoulder Bag,20.0,Wallflower,
Jennifer Miller Teal Blue Upcycled Leather Purse/Tote,50.0,Jennifer,
Louis Vuitton Articles De Voyage Veau Soie Lena Calfskin Pink Zippy Wallet,575.0,Louis,
BUSINESS & PLEASURE The Holiday Cooler Tote Bag Rivie Green Beach Camping NWOT,35.0,BUSINESS,
Prada Pink Saffiano Lux Leather Flap Continental Wallet,432.0,Prada,
NWOT Rebecca Minkoff Black Crossbody Bag with Silver Chain,100.0,NWOT,
Michael Kors Reed Large Signature Belted Logo Satchel Crossbody Bag Cream Purse,100.0,Michael,Large
"Patricia Nash Rosina Leather Cutout Tooled Shoulder Bag
          
      NWT",110.0,Patricia,
Tote Bag,17.0,Tote,
Michael Kors Tribeca Large Convertible Shoulder Bag - Snakeskin Print Leather,189.0,Michael,Large
Black leather Crossbody Bag with Silver Buckle,77.0,Black,
Kim Rogers Multicolor Boho Floral and Butterfly Shoulder Bag,19.0,Kim,
VTG Leather School Florence Black Crossbody Bag Gold Hardware Italy Monogramed,125.0,VTG,
Sleek Black Crossbody Bag with Adjustable Strap,22.0,Sleek,
"NWT MKF BROWN LARGE MIA K FARROW PURSE (505)‎
          
      NWT",23.0,NWT,Large
Coach Signature Brown Canvas & Tan Leather Tote Bag | Classic Logo,70.0,Coach,
"Sleek Laptop Messenger Bag with Multiple Compartments, Lightweight & Waterproof",60.0,Sleek,
MICHAEL KORS women’s navy blue pebble leather bedford tassel shoulder bag,55.0,MICHAEL,
"New LC Lauren Conrad Crossbody Bag
          
      NWT",50.0,New,
CXL by Christian Lacroix Laine Matte Patent Crossbody Bag – Nude,40.0,CXL,XL
The Sak Silverlake Olive leather studded bag,49.0,The,
"Fall Kate Spade Women's Margaux Haircalf Medium Satchel Bag/ Animal Print Purse
          
      NWT",190.0,Fall,Medium
"Dark Gray Felt Clutch with OOAK Peacock Artwork
          
      NWT",35.0,Dark,
