listing,price,brand,size
Dooney & Bourke Disney Parks Exclusive Retired Haunted Mansion Shopper Tote Bag,300.0,Dooney,
Gucci Brown Leather GG Monogram Wristlet Bag Excellent Condition,275.0,Gucci,
Mango Beige chain Bovine leather  Crossbody Bag,50.0,Mango,
COACH Vintage Sonoma‎ Double Zip 90s Wheat Tan Pebbled Leather Crossbody Bag .,225.0,COACH,
Lilly Pulitzer Estee Lauder Make Up Bag Cosmetic Case Blue Green Floral,12.0,Lilly,
"Patricia Nash Tote Bag NEW Braden Tote Color Block Leather Brown Green
          
      NWT",170.0,Patricia,
"NEW Watermelon Straw Handbag
          
      NWT",85.0,NEW,
Michael Kors Black Leather Tote Bag,102.0,Michael,
Louis Vuitton Cowhide Leather Handbag,4274.0,Louis,
HOBO Daria mini bag wallet clutch short chain strap‎,29.0,HOBO,Mini
Burberry Black Label Nylon Check Duffel Tote Bag Black/Gray Drawstring Weekender,228.0,Burberry,
"HOBO International Leather Shoulder Bag‎ US One Size Camel Tan Soft Leather
          
      NWT",198.0,HOBO,
Vera Bradley Carson Mini Saddle Bag “Bittersweet Chocolate” (Maroon Brown),65.0,Vera,Mini
Versace Purple Quilted Velvet Chain Crossbody Bag,995.0,Versace,
Gently used perfect condition vineyard vines reusable shopping bag tote lunch,32.0,Gently,
Vintage Original Coach Signature Pocket Swing Pack Crossbody with Tag,20.0,Vintage,
Zara Suede olive 🫒 and Brown Interior Tote,30.0,Zara,
"MKF Collection‎ by Mia K. MKF-UM5522BR Fiona Tote Bag, Brown",16.0,MKF,
Rare Tom Ford era Gucci Handbag with Black and Gold-tone Accent-See flaws,399.0,Rare,
Plum Brand Floral Backpack Purse Bag,10.0,Plum,
DAKINE Cross Body Purse Pouch Travel Bag Small Black Pattern,25.0,DAKINE,Small
Fossil Black Leather Medium Bifold Wallet With Zippered Coin Pocket & Card Slots,35.0,Fossil,Medium
DRAPER JAMES Straw Tote Shoulder Bag Handbag Boho Beach Bag 15x10,25.0,DRAPER,
BRIGHTON 2019 Love Of Art‎ Canvas Clutch Pouch Cosmetic Makeup Bag Travel Pouch,16.0,BRIGHTON,
Vera Bradley Crossbody Bag Purse‎ Quilted Floral Pattern Travel Bag,18.0,Vera,
Louis Vuitton Pimlico,850.0,Louis,
Gilian NY metallic handbag with leather floral accent,25.0,Gilian,
G.U.S. Aqua Blue Mesh With Gray Trim Tote Bag,13.0,G.U.S.,
Hush Puppies Shoulder Bag‎,30.0,Hush,
"Kate Spade x Clinique Cosmetic Bag
          
      NWT",32.0,Kate,
Brighton Vintage Chantilly Satchel Bag Two Tone Brown Black Croc Leather Silver,29.0,Brighton,
"NEW Patricia Nash Cassini Leather Wristlet - Signature Map - Riot Rust
          
      NWT",45.0,NEW,
Vera Bradley Very Berry Paisley Tote Bag Toggle Closure Inside Pockets‎ EUC,27.0,Vera,
(H(om)e)  Genuine Burgundy Leather Handcrafted clutch with crazy stitching,50.0,(H(om)e),
SPARTINA 449 WRISTLET GENUINE LEATHER ELEPHANT PRINT GREEN PINK GOLD,32.0,SPARTINA,
Free People Cotton Gauze Reusable Tote Bag Floral Star Pattern,10.0,Free,
Celine Large Strap Wallet Grained Calfskin,283.0,Celine,Large
"A Mano Fair‎ Trade Embroidered Floral Coin Purse Bag Guatemala Handmade New
          
      NWT",13.0,A,
Michael Kors Suri Small Quilted Crossbody Bag,79.0,Michael,Small
"YEAR OF OURS
Backpack
          
      NWT",45.0,YEAR,
"Limited Edition Trader Joe's Black Canvas Tote Bag  Bag New
          
      NWT",16.0,Limited,
"TOP POSHMARK SELLER ❤️❤️❤️
I WILL ALWAYS RESPOND WITHIN 24HRS",9999.0,TOP,
RACHEL PALLY Floral Reversible Clutch Like New Tassel Zipper Pull,50.0,RACHEL,
Fossil Mulberry Leather Crossbody Bag,49.0,Fossil,
Coach Marlon Hobo Shoulder Handbag Kaki Honey,99.0,Coach,
Tan B. Makowsky Leather Satchel‎ P21,37.0,Tan,
Gorgeous Staud Beaded Tommy Bag in Avocado Green - new without tags $295 retail,225.0,Gorgeous,
"Mini Woven Shoulder Bag, also described as a slouchy shoulder or hobo bag NWT
          
      NWT",15.0,Mini,Mini
VERA BRADLEY Frannie Portobello Road Crossbody Bag Green Purple Quilted NWOT,28.0,VERA,
Authentic Treasure & Bond Wallet,80.0,Authentic,
Travelon Bag Crossbody Messenger Anti-Theft RFID Black Leopard Purse & Wristlet,35.0,Travelon,
Vintage Tapestry Wallet Faux Brown Leather Complete‎ Set Kiss Clasp Coin Key Fob,25.0,Vintage,
LUG Sleeper XL Make-up Brush Case Heather Grey,25.0,LUG,XL
MICHAEL KORS Black Bag Gold Hardware,89.0,MICHAEL,
Vera Bradley Antilles Aquatic Straw Drawstring Small Backpack Bundle,50.0,Vera,Small
"Tory Burch Britten Zip Continental Wallet Gray Heron Silver Grey
          
      NWT",195.0,Tory,
Fossil Black Leather Women's Wallet black,22.0,Fossil,
Dooney & Bourke Black w/Rainbow Signature Backpack - Rare!!!,145.0,Dooney,
The Sak Leather IRIS Credit Card Wallet Teal Blue Striped w/ Zipper,17.0,The,
Coach Pebbled Leather Wristlet Dark Blue,48.0,Coach,
Eddie Bauer Travel Crossbody Wallet.,8.0,Eddie,
